Chemical formula,Synonyms,CAS number
Ac2O3,actinium(III) oxide,12002–61–8
AgBF4,Silver tetrafluoroborate,14104–20–2
AgBr,silver bromide,7785–23–1
AgBrO,silver hypobromite,475461–55–3
AgBrO2,silver bromite,
AgBrO3,silver bromate,7783–89–3
AgBrO4,silver perbromate,
AgCl,silver chloride,7783–90–6
AgCl3Cu2,dicopper silver trichloride,69569–03–5
AgClO3,silver chlorate,7783–92–8
AgClO4,silver perchlorate,7783–93–9
AgCN,silver cyanide,506–64–9
AgCNO,silver fulminate,5610–59–3
AgF,silver fluoride,7775–41–9
AgF2,silver(II) fluoride,7783–95–1
AgI,silver iodide,7783–96–2
AgIO,silver hypoiodite,
AgIO2,silver iodite,
AgIO3,silver iodate,7783–97–3
AgIO4,silver periodate,
AgMnO4,silver permanganate,7783–98–4
AgN3,silver azide,13863–88–2
AgNO3,silver nitrate,7761–88–8
AgO,silver monoxide,1301–96–8
AgONC,silver cyanate,3315–16–0
AgPF6,silver hexafluorophosphate,26042–63–7
AgSNC,silver thiocyanate,1701–93–5
Ag2C2,silver acetylide,7659–31–6
Ag2CO3,silver(I) carbonate,534–16–7
Ag2C2O4,silver oxalate,533–51–7
Ag2Cl2,silver(II) dichloride,75763–82–5
Ag2CrO4,silver chromate,7784–01–2
Ag2Cr2O7,silver dichromate,7784–02–3
Ag2F,silver subfluoride,1302–01–8
Ag2MoO4,silver molybdate,13765–74–7
Ag2O,silver(I) oxide,20667–12–3
Ag2S,silver sulfide,21548–73–2
Ag2SO4,silver sulfate,10294–26–5
Ag2Se,silver selenide,1302–09–6
Ag2SeO3,silver selenite,7784–05–6
Ag2SeO4,silver selenate,7784–07–8
Ag2Te,silver(I) telluride,12002–99–2
Ag3Br2,silver dibromide,11078–32–3
Ag3Br3,silver tribromide,11078–33–4
Ag3Cl3,silver(III) trichloride,12444–96–1
Ag3I3,silver(III) triiodide,37375–12–5
Ag3PO4,silver phosphate,7784–09–0
AlBO3,aluminium borate,61279–70–7
AlBr,aluminium monobromide,22359–97–3
AlBr3,aluminium tribromide,7727–15–3
AlCl,aluminium monochloride,13595–81–8
AlClF,aluminium chloride fluoride,22395–91–1
AlClO,aluminium chloride oxide,13596–11–7
AlCl2H,dichloroalumane,16603–84–2
AlCl3,aluminium chloride,16603–84–2
AlCl2F,aluminium chloride fluoride,13497–96–6
AlCl3,aluminium trichloride,7446–70–0
AlCl4Cs,aluminium caesium tetrachloride,17992–03–9
AlCl4K,potassium tetrachloroaluminate,13821–13–1
AlCl4Na,sodium tetrachloroaluminate,7784–16–9
AlCl4Rb,rubidium tetrachloroaluminate,17992–02–8
AlCl6K3,potassium hexachloroaluminate,13782–08–6
AlCl6Na3,sodium hexachloroaluminate,60172–46–5
AlCo,Alumanylidynecobalt,
AlF,aluminium monofluoride,13595–82–9
AlFO,aluminium monofluoride monoxide,13596–12–8
AlF2,aluminium difluoride,13569–23–8
AlF2O,aluminium difluoride oxide,38344–66–0
AlF3,aluminium trifluoride,7784–18–1
AlF4K,potassium tetrafluoroaluminate,14484–69–6
AlF4Li,lithium tetrafluoroaluminate,15138–76–8
AlF6K3,potassium hexafluoraluminate,13775–52–5
AlF6Li3,lithium hexafluoroaluminate,13821–20–0
AlF6Na3,cryolite,15096–52–3
AlGaInP,aluminium-gallium-indium phosphide,
AlH3,aluminium hydride,7784–21–6
AlH4−,alumanuide ion,
Al(OH)3,aluminium hydroxide,21645–51–2
AlI,aluminium monoiodide,29977–41–1
AlI3,aluminium triiodide,7784–23–8
AlLiO2,lithium aluminate,12003–67–7
AlN,aluminium nitride,24304–00–5
Al(NO2)3,aluminium nitrite,
Al(NO3)3,aluminium nitrate,13473–90–0
AlNaO2,sodium aluminate,1302–42–7
AlO,aluminium monoxide,14457–64–8
AlOSi,aluminium silicon monoxide,37361–47–0
AlO2,aluminium(IV) oxide,11092–32–3
AlP,aluminium monophosphide,20859–73–8
AlPO4,aluminium phosphate,7784–30–7
AlTe,aluminium monotelluride,23330–86–1
AlTe2,monoaluminium ditelluride,39297–18–2
Al2BeO4,beryllium aluminium oxide,12004–06–7
Al2Br6,dialuminium hexabromide,18898–34–5
Al2(CO3)3,aluminium carbonate,14455–29–9
Al2Cl9K3,potassium aluminium chloride,74978–20–4
Al2CoO4,cobalt blue,1333–88–6
Al2F6,aluminium fluoride,17949–86–9
Al2I6,aluminium iodide,18898–35–6
Al2MgO4,magnesium aluminium oxide,12068–51–8
Al2O,dialuminium monoxide,12004–36–3
Al2O2,dialuminium dioxide,12252–63–0
Al2O3,aluminium oxide,1344–28–1
Al2O5Si,aluminium silicate,1302–76–7
Al2SiO5,andalusite,12183–80–1
Al2O7Si2,metakaolinite,1332–58–7
Al2S,dialuminium monosulfide,12004–45–4
Al2S3,aluminium sulfide,1302–81–4
Al2(SO4)3,aluminium sulphate,14455–29–9
Al2Se,dialuminium selenide,12598–14–0
Al2Si2O5(OH)4,kaolin,1332–58–7
Al2Te,dialuminium telluride,12598–16–2
Al3F14Na5,chiolite,1302–84–7
Al4C3,aluminium carbide,1299–86–1
Al6BeO10,beryllium aluminium oxide,12253–74–6
Al6O13Si2,mullite,1302–93–8
ArClF,argon chloride fluoride,53169–15–6
ArClH,argon chloride hydride,163731–17–7
ArFH,argon fluoride hydride,163731–16–6
AsBrO,arsenic oxybromide,82868–10–8
AsBr3,arsenic tribromide,7784–33–0
AsClO,arsenic monoxide monochloride,14525–25–8
AsCl3,arsenic trichloride,7784–34–1
AsCl3O,arsenic oxychloride,60646–36–8
AsCl4F,arsenic tetrachloride fluoride,87198–15–0
AsF3,arsenic trifluoride,7784–35–2
AsF5,arsenic pentafluoride,7784–36–3
AsH3,arsine,7784–42–1
AsI3,arsenic triiodide,7784–45–4
AsO,arsenic monoxide,12005–99–1
AsO2,arsenic dioxide,12255–12–8
AsP,arsenic monophosphide,12255–33–3
AsP3,arsenic triphosphide,12511–95–4
AsTl,thallium arsenide,12006–09–6
As2I4,arsenic diiodide,13770–56–4
As2O3,arsenic trioxide,1327–53–3
As2P2,arsenic diphosphide,12512–03–7
As2O5,arsenic pentoxide,1303–28–2
As2S4,arsenic tetrasulfide,1303–32–8
As2S5,arsenic pentasulfide,1303–34–0
